,Added points,f1,accuracy
0,100,0.8516362378451696,0.8528645783662796
0,200,0.8313946447549613,0.8440104126930237
0,300,0.8554579884855055,0.8562500029802322
0,400,0.8245393730386388,0.8294270783662796
0,500,0.8580105492928154,0.8617187440395355
0,100,0.8468043346929477,0.8484375029802322
0,200,0.8455019503774746,0.8489583283662796
0,300,0.8328004579212507,0.8372395783662796
0,400,0.8700481224879977,0.8734374940395355
0,500,0.8522915844640058,0.8567708283662796
0,100,0.8516062004899851,0.8528645783662796
0,200,0.8404119016869112,0.8411458283662796
0,300,0.8483023739077369,0.8528645783662796
0,400,0.8708235079896978,0.8729166686534882
0,500,0.850535075002517,0.8533854186534882
0,100,0.8399149001139173,0.8406250029802322
0,200,0.8408268458499218,0.8450520783662796
0,300,0.8492315146376352,0.8528645783662796
0,400,0.8620630714766307,0.8651041686534882
0,500,0.8288508794942009,0.8333333283662796
0,100,0.8398062485953779,0.8406250029802322
0,200,0.8625230951380813,0.8656249940395355
0,300,0.8520970427613691,0.8562500029802322
0,400,0.8448559562345527,0.8489583283662796
0,500,0.8504593649759481,0.8533854186534882
