,Added points,f1,accuracy
0,100,0.8401869329328344,0.8528645783662796
0,200,0.8519427809112852,0.8528645783662796
0,300,0.8325475107289281,0.8322916626930237
0,400,0.8700408845181291,0.8729166686534882
0,500,0.8537855848668149,0.8567708283662796
0,100,0.7915164863151085,0.8049479126930237
0,200,0.8291946848560087,0.8322916626930237
0,300,0.8350990800261119,0.8372395783662796
0,400,0.857662603411011,0.8611979186534882
0,500,0.8588082653732427,0.8606770783662796
0,100,0.8340939768679404,0.8367187529802322
0,200,0.8153209238601992,0.8093750029802322
0,300,0.8363695009470526,0.8411458283662796
0,400,0.8619663165259495,0.8656249940395355
0,500,0.8582744671585384,0.8606770783662796
0,100,0.8285700358217396,0.8395833373069763
0,200,0.8378691929827398,0.8450520783662796
0,300,0.8230107510279663,0.8367187529802322
0,400,0.8554796082390212,0.8567708283662796
0,500,0.866799938750153,0.8684895783662796
0,100,0.8505423170597447,0.8533854186534882
0,200,0.8334153795796961,0.8372395783662796
0,300,0.8654017095832268,0.8695312440395355
0,400,0.8051766792990185,0.8161458373069763
0,500,0.8460245533881632,0.8489583283662796
0,500,0.8436947864555779,0.8445312529802322
