,Added points,f1,accuracy
0,100,0.7925255753783029,0.7981770783662796
0,200,0.7954768212157644,0.8020833283662796
0,300,0.8032661791952334,0.8093750029802322
0,400,0.8096427176091607,0.8143229186534882
0,500,0.8345032420700738,0.8382812440395355
0,100,0.8032423193352125,0.8098958283662796
0,200,0.7832976826214972,0.7976562529802322
0,300,0.7806426655490558,0.7893229126930237
0,400,0.8125469950352322,0.8177083283662796
0,500,0.8261454822246357,0.8299479186534882
0,100,0.8130377415400794,0.8182291686534882
0,200,0.7850280504908835,0.7937500029802322
0,300,0.7981646959490518,0.8049479126930237
0,400,0.8360802784915472,0.8382812440395355
0,500,0.8282674521097861,0.8343749940395355
0,100,0.7922849366437688,0.7981770783662796
0,200,0.8100185439438843,0.8182291686534882
0,300,0.8008639669664661,0.8088541626930237
0,400,0.8346121344771479,0.8382812440395355
0,500,0.823577168766864,0.8299479186534882
0,100,0.8030592543948141,0.8098958283662796
0,200,0.7843424139682318,0.7976562529802322
0,300,0.81079730801786,0.8132812529802322
0,400,0.8036790671335927,0.8138020783662796
0,500,0.8357438015585517,0.8416666686534882
0,500,0.8231577987305125,0.8289062529802322
