,Added points,f1,accuracy
0,400,0.8114112512646533,0.8127604126930237
0,800,0.8749875996007351,0.8763020783662796
0,1200,0.8687635045840824,0.8690104186534882
0,1600,0.9055534192186572,0.9052083343267441
0,2000,0.893103880190661,0.8929687440395355
0,400,0.8449780790844791,0.8416666686534882
0,800,0.8601105773554469,0.8611979186534882
0,1200,0.8784567333060853,0.8773437440395355
0,1600,0.8991107344385572,0.8968749940395355
0,2000,0.8956951721757631,0.8929687440395355
0,400,0.8182622626444584,0.8239583373069763
0,800,0.8504609851308041,0.8523437529802322
0,1200,0.860635572231036,0.8611979186534882
0,1600,0.8707562225312682,0.8690104186534882
0,2000,0.9186052501193771,0.9174479097127914
0,400,0.8044069649128214,0.8083333373069763
0,800,0.8352959263639989,0.8372395783662796
0,1200,0.851715126570526,0.8528645783662796
0,1600,0.8647795302907741,0.8651041686534882
0,2000,0.8786349097682644,0.8763020783662796
0,400,0.8293347475921055,0.8289062529802322
0,800,0.830414884270445,0.8333333283662796
0,1200,0.8724080342970695,0.8729166686534882
0,1600,0.8753583395397109,0.8734374940395355
0,2000,0.8815585324378162,0.8807291686534882
