,Added points,f1,accuracy
0,400,0.7810451462593765,0.7869791686534882
0,800,0.7578626995397235,0.7687499970197678
0,1200,0.8653688065406815,0.8690104186534882
0,1600,0.8558453651345264,0.8567708283662796
0,2000,0.8312306862696284,0.8372395783662796
0,400,0.7646442091204941,0.7747395783662796
0,800,0.7790566337807607,0.7815104126930237
0,1200,0.8386491734980237,0.8411458283662796
0,1600,0.8400726406607949,0.8416666686534882
0,2000,0.8740698927808302,0.8768229186534882
0,400,0.7941840618733914,0.7986979186534882
0,800,0.7883723782255614,0.7903645783662796
0,1200,0.8357859059885666,0.8411458283662796
0,1600,0.8185999110806951,0.8250000029802322
0,2000,0.8280612006389088,0.8283854126930237
0,400,0.7675349162056069,0.7669270783662796
0,800,0.7827049909262564,0.7859375029802322
0,1200,0.8626005805814068,0.8651041686534882
0,1600,0.8666262486580236,0.8690104186534882
0,2000,0.8545735813448966,0.8611979186534882
0,400,0.7680899451269894,0.7747395783662796
0,800,0.7875943263558127,0.7947916686534882
0,1200,0.8242256657023924,0.8294270783662796
0,1600,0.8469283633229212,0.8494791686534882
0,2000,0.8467590181642071,0.8484375029802322
0,400,0.8042616636589792,0.8104166686534882
0,800,0.7685739267215628,0.7664062529802322
0,1200,0.8339102404357339,0.8372395783662796
0,1600,0.8440063077890934,0.8455729186534882
0,2000,0.8525506943913715,0.8562500029802322
0,400,0.7605626877500077,0.7635416686534882
0,800,0.8300721927022968,0.8294270783662796
0,1200,0.8078455393462513,0.8177083283662796
0,1600,0.8391658841373755,0.8411458283662796
0,2000,0.8634689619027129,0.8645833283662796
0,400,0.7939414049170483,0.7981770783662796
0,800,0.7862325039264538,0.7848958373069763
0,1200,0.8365866822501192,0.8411458283662796
0,1600,0.850359390928881,0.8523437529802322
0,2000,0.848987736985262,0.8567708283662796
0,400,0.7749938744514953,0.7781250029802322
0,800,0.8167769706870365,0.8138020783662796
0,1200,0.8373386208929581,0.8416666686534882
0,1600,0.8360758030054243,0.8416666686534882
0,2000,0.855079601994908,0.8578124940395355
0,400,0.7685095966844436,0.7791666686534882
0,800,0.8208266322112951,0.8210937529802322
0,1200,0.8224917798987104,0.8294270783662796
0,1600,0.8403476002423435,0.8455729186534882
0,2000,0.8256293367802948,0.8294270783662796
