,Added points,f1,accuracy
0,400,0.7953426727817935,0.8065104186534882
0,800,0.8240151968158772,0.8294270783662796
0,1200,0.7993545509694678,0.8098958283662796
0,1600,0.8452091468056737,0.8494791686534882
0,2000,0.8017448947062767,0.8088541626930237
0,400,0.7939192269915276,0.8015625029802322
0,800,0.8390461223379172,0.8455729186534882
0,1200,0.8232085118640604,0.8278645873069763
0,1600,0.8467373838589592,0.8533854186534882
0,2000,0.8378113586836469,0.8416666686534882
0,400,0.7957468534918433,0.8059895783662796
0,800,0.8124638653437914,0.8216145783662796
0,1200,0.7949405832689499,0.8020833283662796
0,1600,0.8497005681753401,0.8567708283662796
0,2000,0.842705898153738,0.8450520783662796
0,400,0.790984537425671,0.7981770783662796
0,800,0.8184073073982971,0.8260416686534882
0,1200,0.8207891680318753,0.8294270783662796
0,1600,0.8445368013530381,0.8494791686534882
0,2000,0.8390733510754684,0.8406250029802322
0,400,0.8003189943445195,0.8059895783662796
0,800,0.8077267081328713,0.8182291686534882
0,1200,0.8407187043693538,0.8489583283662796
0,1600,0.822369684513428,0.8294270783662796
0,2000,0.8381800039200685,0.8411458283662796
